m,n,Re_Z,Im_Z
0,0,-1616.65840963948,-0.160695510622443
0,1,580.242387417146,-0.160601140826957
0,2,149.317435988878,-0.160318268928737
0,3,42.7996840197676,-0.159847606617823
0,4,18.0130650181037,-0.159190337464792
0,5,9.34317895007928,-0.158348113061713
0,6,5.52348742236272,-0.157323047639763
0,7,3.57171376939708,-0.156117711183215
0,8,2.46512615422913,-0.154735121066249
0,9,1.78724014405344,-0.153178732242763
0,10,1.34622788980943,-0.151452426027001
0,11,1.04512567457256,-0.149560497505474
0,12,0.831213228390045,-0.147507641628044
0,13,0.674088709328827,-0.14529893802943
0,14,0.555348436211181,-0.142939834637389
0,15,0.463388148711963,-0.140436130128711
0,16,0.39063211151325,-0.137793955297815
0,17,0.331983973010933,-0.135019753406665
0,18,0.283924428914787,-0.132120259588863
0,19,0.243966585328853,-0.129102479383536
0,20,0.210316798656679,-0.125973666478074
0,21,0.181657557411836,-0.12274129974125
0,22,0.157005027492135,-0.119413059630935
0,23,0.135613498566155,-0.115996804062147
0,24,0.116910000172159,-0.112500543823926
0,25,0.100448745909811,-0.108932417633219
0,26,0.0858788656630728,-0.105300666917229
0,27,0.0729212029171527,-0.101613610413614
0,28,0.0613513980591044,-0.0978796186813547
0,29,0.050987396535103,-0.094107088611808
0,30,0.0416801153086181,-0.0903044180314937
0,31,0.0333063927913526,-0.0864799804867006
0,32,0.0257636096100463,-0.0826421002975266
0,33,0.0189655456591009,-0.0787990279702533
0,34,0.0128391614999714,-0.0749589160521094
0,35,0.00732207767407316,-0.0711297955123563
0,36,0.00236058583142818,-0.0673195527311081
0,37,-0.00209193136720641,-0.0635359071724793
0,38,-0.00607626357108513,-0.0597863898191868
0,39,-0.00962838867177692,-0.0560783224384232
0,40,-0.0127802941185995,-0.052418797748046
1,0,580.242387417146,-0.160601140826957
1,1,-1616.65840963948,-0.160695510622443
1,2,580.242387417145,-0.160601140826957
1,3,149.317435988878,-0.160318268928737
1,4,42.7996840197676,-0.159847606617805
1,5,18.0130650181037,-0.159190337464792
1,6,9.34317895007928,-0.158348113061713
1,7,5.52348742236273,-0.157323047639776
1,8,3.57171376939708,-0.156117711183215
1,9,2.46512615422913,-0.154735121066236
1,10,1.78724014405344,-0.153178732242763
1,11,1.34622788980943,-0.151452426027001
1,12,1.04512567457256,-0.149560497505469
1,13,0.831213228390045,-0.147507641628044
1,14,0.674088709328827,-0.14529893802943
1,15,0.555348436211181,-0.142939834637366
1,16,0.463388148711963,-0.140436130128711
1,17,0.390632111513263,-0.13779395529782
1,18,0.331983973010933,-0.135019753406665
1,19,0.283924428914787,-0.132120259588863
1,20,0.243966585328848,-0.129102479383531
1,21,0.210316798656685,-0.12597366647807
1,22,0.181657557411836,-0.12274129974125
1,23,0.157005027492135,-0.119413059630935
1,24,0.135613498566155,-0.115996804062147
1,25,0.116910000172159,-0.112500543823926
1,26,0.100448745909811,-0.108932417633219
1,27,0.0858788656630433,-0.105300666917202
1,28,0.0729212029171527,-0.101613610413614
1,29,0.0613513980591044,-0.0978796186813547
1,30,0.050987396535103,-0.094107088611808
1,31,0.0416801153086181,-0.0903044180314937
1,32,0.033306392791339,-0.0864799804866733
1,33,0.0257636096100463,-0.0826421002975266
1,34,0.0189655456591009,-0.0787990279702533
1,35,0.0128391614999714,-0.0749589160521094
1,36,0.00732207767407316,-0.0711297955123563
1,37,0.00236058583142364,-0.0673195527310673
1,38,-0.00209193136720641,-0.0635359071724793
1,39,-0.00607626357108513,-0.0597863898191868
1,40,-0.00962838867177692,-0.0560783224384232
2,0,149.317435988878,-0.160318268928741
2,1,580.242387417145,-0.160601140826957
2,2,-1616.65840963948,-0.160695510622443
2,3,580.242387417146,-0.160601140826957
2,4,149.317435988878,-0.160318268928737
2,5,42.7996840197676,-0.159847606617823
2,6,18.0130650181037,-0.159190337464787
2,7,9.34317895007928,-0.158348113061713
2,8,5.52348742236272,-0.157323047639763
2,9,3.57171376939708,-0.156117711183215
2,10,2.46512615422913,-0.154735121066249
2,11,1.78724014405344,-0.153178732242763
2,12,1.34622788980943,-0.151452426027001
2,13,1.04512567457256,-0.149560497505474
2,14,0.831213228390049,-0.147507641628044
2,15,0.674088709328827,-0.14529893802943
2,16,0.555348436211181,-0.142939834637389
2,17,0.463388148711963,-0.140436130128711
2,18,0.39063211151325,-0.137793955297815
2,19,0.331983973010935,-0.135019753406665
2,20,0.283924428914787,-0.132120259588863
2,21,0.243966585328848,-0.129102479383531
2,22,0.210316798656679,-0.125973666478074
2,23,0.181657557411852,-0.122741299741246
2,24,0.157005027492119,-0.11941305963093
2,25,0.135613498566164,-0.115996804062156
2,26,0.116910000172149,-0.112500543823915
2,27,0.100448745909826,-0.108932417633231
2,28,0.0858788656630592,-0.105300666917215
2,29,0.0729212029171436,-0.1016136104136
2,30,0.0613513980591089,-0.0978796186813683
2,31,0.0509873965350962,-0.0941070886117943
2,32,0.041680115308634,-0.0903044180315119
2,33,0.033306392791339,-0.0864799804866733
2,34,0.025763609610044,-0.0826421002975198
2,35,0.0189655456591055,-0.0787990279702669
2,36,0.0128391614999668,-0.0749589160520878
2,37,0.00732207767407089,-0.0711297955123631
2,38,0.00236058583142818,-0.0673195527310968
2,39,-0.00209193136720641,-0.063535907172464
2,40,-0.00607626357108966,-0.0597863898191879
3,0,42.7996840197675,-0.159847606617823
